Linear search	 - Sequential prime numbers
N         T [ ms ]            Stdev [ ms ]        Samples             
200000    0.351079            0.224923            50                  
400000    0.756144            0.422784            50                  
600000    1.05978             0.480345            50                  
800000    1.3513              0.734622            50                  
1000000   1.45674             1.03401             50                  
1200000   1.81661             1.06161             50                  
1400000   2.15247             1.20294             50                  
1600000   2.51944             1.57975             50                  
1800000   3.26329             1.71693             50                  
2000000   2.84619             1.87319             50                  

Binary search	 - Sequential prime numbers
N         T [ ms ]            Stdev [ ms ]        Samples             
200000    0.00085788          0.000279611         50                  
400000    0.0008626           0.000202579         50                  
600000    0.00098272          0.00020789          50                  
800000    0.00091822          0.000214138         50                  
1000000   0.00101322          0.000451015         50                  
1200000   0.00081152          0.000176672         50                  
1400000   0.00092228          0.000219648         50                  
1600000   0.00155322          0.0044533           50                  
1800000   0.00101106          0.00037029          50                  
2000000   0.00134956          0.0024459           50                  

Binary search tree	 - Sequential prime numbers
N         T [ ms ]            Stdev [ ms ]        Samples             
200000    4.992e-05           9.23461e-05         50                  
400000    5.102e-05           9.77641e-05         50                  
600000    7.818e-05           7.51635e-05         50                  
800000    7.032e-05           0.000129508         50                  
1000000   4.74e-05            8.98719e-05         50                  
1200000   6.328e-05           0.000190287         50                  
1400000   7.168e-05           9.11652e-05         50                  
1600000   7.548e-05           6.11344e-05         50                  
1800000   6.696e-05           0.00012605          50                  
2000000   7.322e-05           0.000207812         50                  

Hash table	 - Sequential prime numbers
N         T [ ms ]            Stdev [ ms ]        Samples             
200000    0.00040528          0.000181368         50                  
400000    0.00036306          0.000146861         50                  
600000    0.00039194          0.000161928         50                  
800000    0.00039712          0.000183897         50                  
1000000   0.00044486          0.000227446         50                  
1200000   0.00043316          0.000227692         50                  
1400000   0.00044116          0.000224544         50                  
1600000   0.00037092          0.000183041         50                  
1800000   0.000515            0.000298624         50                  
2000000   0.00043254          0.000248519         50                  
