Linear search	 - Sequential prime numbers
N         T [ ms ]            Stdev [ ms ]        Samples             
200000    0.311347            0.183567            50                  
400000    0.639374            0.402549            50                  
600000    0.979915            0.541551            50                  
800000    1.31763             0.70317             50                  
1000000   1.65837             1.00689             50                  
1200000   2.20879             1.26097             50                  
1400000   2.64979             1.76614             50                  
1600000   2.91965             1.36998             50                  
1800000   3.44694             2.16204             50                  
2000000   3.93754             2.06386             50                  

Binary search tree	 - Sequential prime numbers
N         T [ ms ]            Stdev [ ms ]        Samples             
200000    5.67e-05            0.000144972         50                  
400000    4.018e-05           5.48273e-05         50                  
600000    5.544e-05           0.000115197         50                  
800000    4.842e-05           7.19052e-05         50                  
1000000   4.176e-05           6.32378e-05         50                  
1200000   5.242e-05           5.64309e-05         50                  
1400000   5.79e-05            0.0001001           50                  
1600000   6.212e-05           8.30206e-05         50                  
1800000   4.682e-05           8.96762e-05         50                  
2000000   4.384e-05           6.41518e-05         50                  

Hash table	 - Sequential prime numbers
N         T [ ms ]            Stdev [ ms ]        Samples             
200000    0.00047738          0.000187414         50                  
400000    0.00113342          0.00233062          50                  
600000    0.00076156          0.000394054         50                  
800000    0.0009279           0.000411064         50                  
1000000   0.001103            0.000558126         50                  
1200000   0.0015315           0.000862061         50                  
1400000   0.00311774          0.00183773          50                  
1600000   0.0018848           0.00108695          50                  
1800000   0.00181798          0.00119348          50                  
2000000   0.0020584           0.00122301          50                  

